UMAP1,UMAP2,Cluster
9.99005,3.722964,7
10.753664,8.840527,2
7.5916224,7.8351054,1
11.193287,1.111878,0
7.7505994,5.9888344,8
11.086752,5.4426293,7
5.0577745,7.4990926,9
10.950818,8.710579,2
10.532439,6.5530834,6
10.232526,7.7212596,2
11.088503,0.997225,0
7.697473,3.6030552,3
8.735706,4.62765,3
10.838562,4.9222064,7
9.95462,0.50578594,0
12.285516,7.290725,5
10.57442,1.1199489,0
10.963827,6.794847,5
4.486769,7.879128,4
6.5433497,4.6370883,3
9.962132,3.8585575,7
6.0126977,8.092146,9
7.1285834,8.720688,1
4.826857,7.4690514,4
10.020409,0.48958907,0
10.82889,4.806347,7
11.993425,6.0724163,5
12.886754,6.2059884,5
10.632932,4.481308,7
6.1499114,6.48529,9
7.498338,4.038134,3
10.16687,8.985069,2
12.91813,6.2029123,5
10.777209,9.083586,2
11.295759,7.4234676,5
6.426567,4.3768587,3
8.531254,7.6425076,1
10.824105,8.769557,2
5.4930553,7.098804,9
10.292399,8.132224,2
6.932652,4.0619264,3
7.825705,3.2966394,3
9.729964,9.077414,2
11.2006645,5.730184,5
3.864824,6.881403,4
10.617787,1.1594908,0
8.263613,7.2211823,8
4.2810073,7.816847,4
